<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20140312,235300,1.3900,1.3900,1.3897,1.3897,4
EURUSD,20140312,235400,1.3898,1.3899,1.3898,1.3899,4
EURUSD,20140312,235500,1.3899,1.3900,1.3899,1.3900,4
EURUSD,20140312,235600,1.3901,1.3902,1.3901,1.3902,4
EURUSD,20140312,235700,1.3901,1.3902,1.3901,1.3902,4
EURUSD,20140312,235800,1.3901,1.3902,1.3900,1.3900,4
EURUSD,20140312,235900,1.3899,1.3900,1.3899,1.3900,4
EURUSD,20140313,000000,1.3899,1.3904,1.3899,1.3902,4
EURUSD,20140313,000100,1.3901,1.3902,1.3900,1.3900,4
EURUSD,20140313,000200,1.3899,1.3901,1.3899,1.3901,4
EURUSD,20140313,000300,1.3900,1.3902,1.3900,1.3902,4
EURUSD,20140313,000400,1.3901,1.3902,1.3900,1.3900,4
EURUSD,20140313,000500,1.3901,1.3901,1.3900,1.3900,4
EURUSD,20140313,000600,1.3901,1.3901,1.3899,1.3900,4
EURUSD,20140313,000700,1.3899,1.3899,1.3897,1.3898,4
EURUSD,20140313,000800,1.3897,1.3898,1.3897,1.3898,4
EURUSD,20140313,000900,1.3898,1.3898,1.3898,1.3898,4
EURUSD,20140313,001000,1.3898,1.3898,1.3897,1.3897,4
EURUSD,20140313,001100,1.3897,1.3898,1.3897,1.3898,4
EURUSD,20140313,001200,1.3898,1.3898,1.3897,1.3898,4
EURUSD,20140313,001300,1.3898,1.3899,1.3898,1.3899,4
EURUSD,20140313,001400,1.3900,1.3901,1.3900,1.3901,4
EURUSD,20140313,001500,1.3900,1.3902,1.3900,1.3902,4
EURUSD,20140313,001600,1.3903,1.3903,1.3902,1.3902,4
EURUSD,20140313,001700,1.3902,1.3902,1.3901,1.3901,4
EURUSD,20140313,001800,1.3902,1.3904,1.3902,1.3904,4
EURUSD,20140313,001900,1.3904,1.3904,1.3904,1.3904,4
EURUSD,20140313,002000,1.3905,1.3908,1.3905,1.3906,4
